,name,company,year,Price,kms_driven,fuel_type
711,Maruti Suzuki Dzire,Maruti,2016,0.09609120521172639,0.37500000000000006,Diesel
712,Hyundai Elite i20,Hyundai,2018,0.1563517915309446,0.00525,Petrol
713,Honda City VX,Honda,2016,0.2703583061889251,0.23750000000000002,Petrol
714,Maruti Suzuki Dzire,Maruti,2016,0.13680781758957655,0.00625,Diesel
715,Hyundai Getz,Hyundai,2006,0.03094462540716612,0.2,Petrol
716,Mercedes Benz C,Mercedes,2006,0.15309478827361564,0.037500000000000006,Petrol
717,Maruti Suzuki Alto,Maruti,2005,0.021172638436482084,0.1625,Petrol
718,Skoda Fabia,Skoda,2009,0.026058631921824105,0.1125,Petrol
719,Maruti Suzuki Ritz,Maruti,2011,0.0781758957654723,0.125,Petrol
720,Tata Indica V2,Tata,2009,0.026058631921824105,0.07500000000000001,Diesel
721,Toyota Corolla Altis,Toyota,2009,0.08794788273615635,0.33,Petrol
722,Tata Zest XM,Tata,2018,0.07491856677524429,0.0675,Diesel
723,Mahindra Quanto C8,Mahindra,2013,0.11726384364820847,0.1,Diesel
